Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.ror.json	45673	-	0	0	0	0	0	0	6	398	0	0	1	0	0	0	0	1	0	0	181	259	0	0	0	0	9	0	1
fsh-generated/resources/CapabilityStatement-ror-consommateur.json	30601	17	0	0	0	0	1	0	2	87	0	0	0	0	0	0	0	1	0	0	113	107	0	0	0	0	4	0	0
fsh-generated/resources/CapabilityStatement-ror-serveur.json	31333	18	0	0	0	0	0	0	1	80	0	0	0	0	0	0	0	0	0	0	70	100	0	0	1	0	3	0	1
fsh-generated/resources/CodeSystem-act-type-ror-codesystem.json	839	11	0	0	1	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	30	1602	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-input-task-ror-codesystem.json	1390	12	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	31	134	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-output-task-ror-codesystem.json	860	11	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	30	112	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ror-include-associated-data-code-system.json	1044	11	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	38	155	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ror-launch-context-codesystem.json	959	12	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	34	102	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-usage-context-ror-codesystem.json	876	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	30	63	0	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-1234564.json	12822	13	0	0	0	0	0	0	1	546	0	0	0	0	0	0	0	0	0	0	39	44	0	0	0	0	0	0	0
fsh-generated/resources/Location-ror-location-exemple.json	1663	12	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	29	32	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ror-questionnaire-offre-mco.json	142531	18	0	0	0	0	0	0	5	2944	0	0	0	0	0	0	0	1	0	0	310	2587	0	0	0	0	15	0	0
fsh-generated/resources/SearchParameter-ror-sp-additional-bed-type.json	613	11	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	30	46	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-closing-type.json	631	12	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	30	45	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-status.json	590	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	30	30	0	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-type.json	580	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	29	22	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-update-date.json	621	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	30	22	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-crisis-type.json	563	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	39	22	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-equipment-feature.json	626	12	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	30	28	0	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-equipment-type.json	586	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	30	21	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-gender-capacity-available.json	648	11	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	30	23	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-age-range-high.json	775	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	31	22	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-age-range-low.json	770	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	30	22	0	0	0	0	0	0	0
